,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dropout_rate,param_lstm_units,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,71.38473901748657,16.82782274638454,0.39097957611083983,0.013063372801275917,0.2,16,"{'dropout_rate': 0.2, 'lstm_units': 16}",0.5043103694915771,0.5258620977401733,0.49568966031074524,0.5454545617103577,0.5800865888595581,0.5302806556224823,0.030336099893416516,6
1,74.9290855884552,7.964282645039374,0.5541272640228272,0.024990159635330855,0.2,32,"{'dropout_rate': 0.2, 'lstm_units': 32}",0.5387930870056152,0.5215517282485962,0.517241358757019,0.5844155550003052,0.5844155550003052,0.5492834568023681,0.029578104475369824,1
2,129.66105098724364,15.35717349268441,1.0775906562805175,0.009010122031002822,0.2,64,"{'dropout_rate': 0.2, 'lstm_units': 64}",0.4698275923728943,0.5474137663841248,0.5474137663841248,0.5194805264472961,0.5714285969734192,0.5311128497123718,0.0347792839420386,4
3,270.4381116867065,24.88431133775187,2.2227049827575684,0.07612487448310976,0.2,128,"{'dropout_rate': 0.2, 'lstm_units': 128}",0.5301724076271057,0.5086206793785095,0.5387930870056152,0.5064935088157654,0.5627705454826355,0.5293700456619262,0.020779331174984355,9
4,574.274609375,21.795282048691625,5.088851881027222,0.09478893656594943,0.2,256,"{'dropout_rate': 0.2, 'lstm_units': 256}",0.5215517282485962,0.5215517282485962,0.517241358757019,0.5021644830703735,0.5974025726318359,0.5319823741912841,0.033477763606598106,3
5,74.75409603118896,20.691511131684937,0.3520078182220459,0.006741315475484133,0.5,16,"{'dropout_rate': 0.5, 'lstm_units': 16}",0.5129310488700867,0.5129310488700867,0.4612068831920624,0.4978354871273041,0.5497835278511047,0.5069375991821289,0.028571885869343106,15
6,81.69526834487915,15.608633620381848,0.5367530822753906,0.01842820754065055,0.5,32,"{'dropout_rate': 0.5, 'lstm_units': 32}",0.5129310488700867,0.5215517282485962,0.49568966031074524,0.523809552192688,0.5930736064910889,0.529411119222641,0.03333103471196493,7
7,129.09997282028198,18.945828607158607,1.1175101757049561,0.02960091390474393,0.5,64,"{'dropout_rate': 0.5, 'lstm_units': 64}",0.517241358757019,0.5129310488700867,0.5344827771186829,0.536796510219574,0.536796510219574,0.5276496410369873,0.010382595781332597,10
8,283.81079335212706,38.646631256941646,2.2207098484039305,0.09068010791258008,0.5,128,"{'dropout_rate': 0.5, 'lstm_units': 128}",0.5301724076271057,0.517241358757019,0.47413793206214905,0.5281385183334351,0.5757575631141663,0.525089555978775,0.032434674898213486,11
9,669.2557393550873,49.828198832768706,5.472416496276855,0.18205685928077595,0.5,256,"{'dropout_rate': 0.5, 'lstm_units': 256}",0.5129310488700867,0.5129310488700867,0.48706895112991333,0.4978354871273041,0.5584415793418884,0.5138416230678559,0.02434660855572711,14
10,101.08289051055908,40.9814000708765,0.4244849681854248,0.0351461513704498,0.8,16,"{'dropout_rate': 0.8, 'lstm_units': 16}",0.4698275923728943,0.517241358757019,0.5043103694915771,0.5281385183334351,0.5627705454826355,0.5164576768875122,0.030344224723918352,13
11,97.130326795578,28.713735086158973,0.6041491985321045,0.024459366596956626,0.8,32,"{'dropout_rate': 0.8, 'lstm_units': 32}",0.4655172526836395,0.5301724076271057,0.4913793206214905,0.5108225345611572,0.6017315983772278,0.5199246227741241,0.04616328098544239,12
12,157.3470419883728,29.91303842527182,1.1688334941864014,0.0384823388714119,0.8,64,"{'dropout_rate': 0.8, 'lstm_units': 64}",0.517241358757019,0.5086206793785095,0.5086206793785095,0.5757575631141663,0.5844155550003052,0.5389311671257019,0.03386122296622532,2
13,329.57795152664187,53.82274287850504,2.6113705158233644,0.12505018161891876,0.8,128,"{'dropout_rate': 0.8, 'lstm_units': 128}",0.5344827771186829,0.5086206793785095,0.5301724076271057,0.5324675440788269,0.5497835278511047,0.531105387210846,0.013180043314868434,5
14,749.0732717037201,65.39137855896709,5.654578733444214,0.23245067674687275,0.8,256,"{'dropout_rate': 0.8, 'lstm_units': 256}",0.5043103694915771,0.5215517282485962,0.517241358757019,0.523809552192688,0.5800865888595581,0.5293999195098877,0.02622708860045411,8
